Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.1091,0.6182,0.6,0.6182,0.3636,0.6182,0.6,0.6182,0.3273,0.4909,0.5455,0.5091
0.0909,0.6,0.6182,0.6545,0.0909,0.6,0.6182,0.6364,0.3636,0.5455,0.6182,0.6364
0.1667,0.6481,0.6481,0.6852,0.5185,0.6852,0.6481,0.6852,0.3889,0.6296,0.6296,0.6481
0.1111,0.7037,0.6667,0.7037,0.1111,0.6852,0.7037,0.7037,0.2963,0.6111,0.6111,0.6296
0.1111,0.5741,0.5741,0.6111,0.1111,0.5926,0.6111,0.6111,0.1852,0.5741,0.5741,0.5741
0.0556,0.6296,0.5926,0.6481,0.0185,0.6111,0.5741,0.6111,0.4074,0.5926,0.463,0.5
0.0545,0.6727,0.6727,0.6727,0.0545,0.6727,0.6909,0.6727,0.1091,0.6364,0.6182,0.6545
0.1091,0.6727,0.6727,0.6545,0.1455,0.6727,0.6545,0.6545,0.3818,0.6182,0.6182,0.6545
0.1273,0.5636,0.5818,0.5455,0.1455,0.5636,0.5636,0.5818,0.2909,0.5636,0.5273,0.5636
0.0727,0.5455,0.4909,0.5455,0.1091,0.5636,0.5273,0.5636,0.1818,0.5273,0.5455,0.5455
0.1091,0.5818,0.6,0.5636,0.1091,0.5818,0.5455,0.5818,0.3273,0.5091,0.5455,0.5455
0.0545,0.5636,0.5818,0.5455,0.0727,0.5455,0.6182,0.5455,0.3636,0.5091,0.5091,0.5455
0.0556,0.6667,0.6667,0.6481,0.0741,0.6667,0.6296,0.6667,0.3704,0.5741,0.5926,0.5741
0.1091,0.7273,0.7091,0.7273,0.1455,0.7091,0.7091,0.7273,0.4909,0.6727,0.5273,0.6364
0.1455,0.6364,0.5273,0.6182,0.1818,0.6,0.5455,0.6182,0.2545,0.5818,0.5455,0.5818
0.1091,0.6909,0.5455,0.7091,0.1273,0.6909,0.5818,0.6909,0.3818,0.7091,0.5818,0.6727
0.0545,0.6,0.5455,0.6,0.1091,0.5818,0.5636,0.5818,0.3273,0.5091,0.5455,0.5636
0.0545,0.6,0.5636,0.6364,0.0364,0.6182,0.6182,0.6364,0.4,0.5455,0.5273,0.6
0.1091,0.6909,0.7273,0.7091,0.1091,0.6727,0.7455,0.7091,0.3636,0.6182,0.6364,0.6182
0.0741,0.4259,0.4815,0.463,0.0741,0.4815,0.4444,0.4815,0.2593,0.4444,0.3889,0.4444
0.1111,0.5,0.537,0.537,0.1296,0.5556,0.5741,0.537,0.2963,0.4259,0.5,0.5
0.0741,0.6111,0.6296,0.5926,0.0556,0.5741,0.6481,0.5926,0.4074,0.6111,0.5926,0.6296
0.0741,0.5926,0.6111,0.6481,0.2222,0.6296,0.5926,0.6296,0.1481,0.6111,0.5185,0.6111
0.1111,0.6296,0.6296,0.6296,0.3889,0.6111,0.6111,0.6296,0.4815,0.6111,0.5926,0.6296
0.1481,0.537,0.5,0.537,0.3519,0.5185,0.5185,0.5185,0.1667,0.5,0.537,0.5
0.1111,0.6852,0.6296,0.7037,0.1111,0.6852,0.6667,0.6852,0.1852,0.6852,0.6111,0.6852
0.0727,0.6,0.5636,0.6545,0.1273,0.6182,0.5818,0.6364,0.3091,0.6545,0.6,0.6364
0.0727,0.5636,0.6182,0.5818,0.2909,0.5818,0.6,0.5818,0.2,0.5636,0.5091,0.6
0.0545,0.5455,0.5455,0.5455,0.1091,0.5636,0.5455,0.5818,0.2909,0.5273,0.5273,0.5091
0.0727,0.6909,0.6364,0.7091,0.0364,0.6909,0.6364,0.7091,0.4727,0.6364,0.6364,0.6182
0.0545,0.7091,0.7091,0.6909,0.0727,0.6909,0.7091,0.6909,0.3455,0.6182,0.6,0.6364
0.0727,0.6182,0.6182,0.6,0.0909,0.6,0.6364,0.6182,0.2,0.6182,0.6182,0.6182
0.0926,0.5556,0.5185,0.537,0.0741,0.5556,0.5185,0.537,0.4444,0.537,0.5185,0.537
0.0364,0.6,0.6182,0.6182,0.0727,0.6364,0.6182,0.6364,0.0727,0.6,0.6,0.6182
0.1091,0.5636,0.5636,0.5636,0.0909,0.5818,0.6182,0.5636,0.3455,0.5818,0.6,0.5636
0.0909,0.5091,0.5273,0.4727,0.0909,0.4727,0.5273,0.4727,0.4,0.4727,0.5091,0.4727
0.0909,0.6545,0.6909,0.6545,0.0909,0.6364,0.6727,0.6727,0.2727,0.6182,0.6545,0.6
0.5273,0.6909,0.6545,0.6727,0.5091,0.6909,0.6182,0.6909,0.5091,0.6545,0.6,0.6727
0.0909,0.6182,0.6,0.5818,0.1091,0.6,0.6182,0.6,0.2727,0.5818,0.5636,0.6
0.1111,0.5926,0.6296,0.5926,0.1111,0.5926,0.6111,0.5741,0.2778,0.5556,0.5741,0.5926
0.0556,0.5556,0.5741,0.6481,0.3889,0.6481,0.5926,0.6481,0.3519,0.537,0.6111,0.6111
0.0741,0.537,0.5185,0.537,0.1111,0.537,0.5185,0.537,0.1667,0.5,0.463,0.5
0.1111,0.6852,0.6852,0.7222,0.1852,0.7222,0.7037,0.7407,0.5,0.7037,0.6667,0.7037
0.1296,0.6481,0.5926,0.6111,0.3519,0.6111,0.5926,0.6111,0.3704,0.6111,0.6111,0.6481
0.0926,0.5741,0.5556,0.6111,0.3704,0.5926,0.537,0.6111,0.463,0.5926,0.5556,0.5926
0.1111,0.6667,0.6296,0.6296,0.1111,0.6481,0.6667,0.6481,0.4444,0.5926,0.6481,0.5926
0.0727,0.5636,0.5455,0.5455,0.0364,0.5091,0.5273,0.5455,0.1273,0.5455,0.4727,0.5091
0.0727,0.6182,0.6182,0.6364,0.1273,0.6182,0.6545,0.6182,0.2364,0.6,0.6,0.5273
0.0727,0.7091,0.7273,0.6909,0.0727,0.7091,0.7273,0.7091,0.4182,0.6909,0.6182,0.6727
0.1091,0.4909,0.5091,0.4727,0.3273,0.4909,0.4727,0.4909,0.3091,0.4545,0.4545,0.4182
0.0909,0.6909,0.7091,0.7091,0.0364,0.7091,0.7091,0.7091,0.2,0.6727,0.6545,0.6727
0.0364,0.6909,0.5091,0.7091,0.0364,0.6364,0.5636,0.7091,0.1818,0.6364,0.5636,0.6182
0.037,0.5556,0.5741,0.5741,0.037,0.537,0.5556,0.537,0.2778,0.5741,0.5,0.537
0.1296,0.6481,0.6296,0.6667,0.1296,0.6667,0.6296,0.7037,0.1667,0.6111,0.6111,0.6111
0.1111,0.6111,0.6111,0.6296,0.3519,0.6111,0.6296,0.6296,0.1667,0.4815,0.5185,0.537
0.037,0.6481,0.6296,0.6667,0.0556,0.6481,0.6296,0.6481,0.3519,0.5926,0.5926,0.6296
0.0727,0.6,0.6182,0.6,0.0909,0.6,0.6182,0.6182,0.3455,0.5636,0.6,0.5636
0.1091,0.5818,0.5636,0.5636,0.1636,0.5818,0.6,0.5818,0.3455,0.5455,0.5636,0.5273
0.0545,0.6,0.5818,0.6,0.1091,0.6,0.5818,0.6,0.2364,0.5636,0.5455,0.6364
0.2,0.7091,0.6727,0.6909,0.1455,0.6909,0.6727,0.6909,0.3818,0.6727,0.6364,0.6727
0.0545,0.5273,0.5273,0.5091,0.0182,0.5273,0.5636,0.5273,0.2,0.5273,0.4727,0.5273
0.0909,0.6545,0.6727,0.6727,0.1455,0.6545,0.6909,0.6727,0.5273,0.6545,0.4364,0.7091
0.0926,0.5556,0.537,0.5741,0.1296,0.5556,0.5185,0.5741,0.3519,0.5741,0.5,0.5741
0.1111,0.5185,0.5185,0.5185,0.1111,0.5,0.5185,0.5185,0.2963,0.463,0.5,0.463
0.0556,0.6667,0.6296,0.6667,0.0556,0.7037,0.6296,0.6852,0.3519,0.7037,0.5556,0.6481
0.0556,0.5556,0.537,0.5185,0.3333,0.537,0.5926,0.5556,0.2778,0.5185,0.5741,0.5
0.0727,0.5273,0.5455,0.5273,0.0909,0.5273,0.5636,0.5273,0.2909,0.5818,0.5273,0.6
0.0909,0.5455,0.5636,0.5636,0.3636,0.5636,0.5818,0.5636,0.4364,0.5455,0.5455,0.5636
0.0182,0.6909,0.6545,0.6909,0.0727,0.6909,0.6727,0.7091,0.1455,0.6182,0.6909,0.5818
0.1273,0.6545,0.6727,0.6545,0.2909,0.6545,0.6727,0.6545,0.4182,0.6364,0.6182,0.6364
0.1636,0.6545,0.6727,0.6727,0.1636,0.6545,0.6364,0.6727,0.3636,0.6364,0.6545,0.6364
0.0909,0.5818,0.5818,0.5818,0.0727,0.5818,0.5636,0.5818,0.1636,0.5818,0.5636,0.6182
0.0926,0.6111,0.5556,0.6481,0.1111,0.6296,0.5926,0.6296,0.2778,0.5741,0.5556,0.6481
0.0926,0.6481,0.6481,0.6481,0.037,0.6296,0.6296,0.6481,0.4074,0.5556,0.5926,0.5741
0.0556,0.6296,0.6852,0.6852,0.0926,0.6481,0.6852,0.6852,0.3148,0.6111,0.6296,0.5741
0.463,0.6667,0.6667,0.6852,0.463,0.6852,0.6296,0.6667,0.4815,0.6111,0.6667,0.6296
0.0727,0.7091,0.7091,0.7091,0.0364,0.7091,0.7091,0.7091,0.4909,0.6364,0.6545,0.6364
0.0909,0.5091,0.4909,0.5273,0.0545,0.5273,0.5455,0.5455,0.3273,0.4909,0.5091,0.5273
0.0182,0.5091,0.5091,0.4909,0.0545,0.4909,0.5273,0.4909,0.1091,0.4364,0.5273,0.4545
0.1091,0.4727,0.4727,0.4727,0.3455,0.4727,0.4727,0.4727,0.2364,0.4727,0.4909,0.4545
0.1636,0.7636,0.7273,0.7455,0.1455,0.7455,0.7273,0.7273,0.4364,0.7455,0.7091,0.7273
0.0182,0.6545,0.6727,0.6727,0.0727,0.6545,0.6545,0.6545,0.2364,0.6,0.5455,0.6
0.0741,0.5185,0.5185,0.5185,0.2963,0.5185,0.5185,0.5185,0.2963,0.5,0.4444,0.4815
0.0909,0.6,0.5636,0.6,0.1091,0.6,0.5818,0.6182,0.3636,0.5273,0.5091,0.5455
0.0545,0.6364,0.6545,0.6545,0.1636,0.6545,0.6545,0.6909,0.4545,0.5636,0.6364,0.6182
0.1273,0.7273,0.7636,0.7636,0.2,0.7636,0.7636,0.7636,0.3818,0.6909,0.6545,0.7273
0.0545,0.6,0.6909,0.6909,0.0545,0.6727,0.6727,0.6727,0.4,0.5455,0.6545,0.6545
0.0364,0.5091,0.6,0.5455,0.0545,0.5455,0.5636,0.5455,0.1273,0.5636,0.5818,0.5636
0.1455,0.5455,0.5273,0.5273,0.0909,0.5273,0.5455,0.5455,0.2364,0.4545,0.4909,0.4909
0.1296,0.6667,0.7222,0.7222,0.2037,0.6667,0.7037,0.7222,0.3889,0.7222,0.6852,0.6667
0.0556,0.537,0.5556,0.5741,0.0556,0.5556,0.5,0.5741,0.2963,0.5185,0.4815,0.5185
0.0741,0.5185,0.537,0.5741,0.2407,0.5556,0.5,0.5741,0.2593,0.5185,0.5185,0.4815
0.1111,0.6296,0.5926,0.5926,0.1111,0.5926,0.6296,0.6111,0.5185,0.5926,0.5556,0.5741
0.0556,0.537,0.5185,0.537,0.0556,0.5,0.5185,0.537,0.2593,0.5185,0.537,0.5185
0.1296,0.6296,0.6111,0.6481,0.1481,0.6296,0.6296,0.6667,0.3148,0.5556,0.5741,0.537
0.0926,0.6852,0.6296,0.6852,0.4444,0.6852,0.6481,0.6852,0.3704,0.6852,0.6481,0.6852
0.0364,0.5818,0.5455,0.5818,0.0364,0.5818,0.5636,0.5636,0.1455,0.5818,0.5636,0.6
0.1273,0.7636,0.7455,0.7636,0.1273,0.7818,0.7818,0.7636,0.5273,0.7818,0.7091,0.7818
0.1091,0.5273,0.5091,0.5273,0.1091,0.5273,0.4909,0.5455,0.2909,0.4545,0.5091,0.5273
0.0727,0.6545,0.6182,0.6545,0.0727,0.6364,0.6182,0.6545,0.3455,0.5818,0.6182,0.5818
0.0909,0.5273,0.6,0.5455,0.0909,0.5273,0.6,0.5273,0.4364,0.5636,0.6,0.5455
0.1091,0.5455,0.5818,0.6182,0.3636,0.6182,0.5818,0.6182,0.2909,0.6,0.4909,0.6
0.0741,0.6111,0.6296,0.6111,0.2963,0.6111,0.6296,0.6296,0.3704,0.5556,0.5185,0.5741
0.0926,0.6296,0.6481,0.6296,0.0741,0.5926,0.6481,0.6296,0.2593,0.6111,0.6667,0.6296
0.0741,0.5926,0.6111,0.6111,0.0926,0.6296,0.6111,0.6111,0.4259,0.463,0.5741,0.5741
0.0926,0.6667,0.6667,0.7037,0.1111,0.6852,0.6667,0.7037,0.4815,0.6296,0.6111,0.6852
0.0727,0.6182,0.5091,0.6,0.0545,0.6,0.5455,0.6182,0.2364,0.5818,0.5455,0.6182
0.1091,0.5455,0.5636,0.5818,0.4,0.5636,0.5636,0.5818,0.2727,0.5818,0.5455,0.6
0.2545,0.6182,0.6,0.6,0.3636,0.6182,0.5818,0.6,0.3636,0.4909,0.6,0.5273
0.0545,0.6545,0.6727,0.6182,0.1091,0.6545,0.6545,0.6545,0.4,0.5273,0.5636,0.5636
0.0182,0.6,0.6364,0.6182,0.0545,0.6182,0.6,0.6182,0.1818,0.5636,0.6,0.5636
0.0545,0.4909,0.5091,0.5273,0.1091,0.5273,0.4909,0.5273,0.3091,0.5091,0.5273,0.5273
0.1296,0.6852,0.6852,0.6481,0.1481,0.6667,0.6852,0.6296,0.3519,0.5556,0.5185,0.5741
0.0741,0.5926,0.5556,0.5926,0.0556,0.5926,0.5556,0.5926,0.1852,0.5,0.5926,0.463
0.0926,0.6111,0.6111,0.6296,0.4074,0.6296,0.6296,0.6296,0.3148,0.5185,0.5556,0.5741
0.037,0.5926,0.6296,0.6111,0.037,0.6296,0.6481,0.6111,0.2778,0.5926,0.6111,0.537
0.1091,0.5273,0.4909,0.5455,0.1273,0.5273,0.4909,0.5455,0.4545,0.5273,0.4909,0.4909
0.0909,0.5455,0.5636,0.5818,0.0727,0.5818,0.6,0.5818,0.4,0.5636,0.6,0.5636
0.1636,0.6182,0.6545,0.6545,0.0909,0.6545,0.6545,0.6545,0.2364,0.6,0.4909,0.5636
0.0545,0.5636,0.5818,0.5818,0.0727,0.5455,0.5818,0.5636,0.1818,0.5455,0.5273,0.5636
0.0909,0.7273,0.6727,0.7273,0.4727,0.6909,0.6182,0.7091,0.5091,0.6,0.6364,0.5818
0.0909,0.6545,0.6364,0.6364,0.2182,0.6,0.6545,0.6364,0.4545,0.6364,0.6545,0.6364
0.0556,0.6481,0.6296,0.6111,0.037,0.6296,0.5926,0.6296,0.3889,0.6296,0.5741,0.6481
0.0926,0.5926,0.5741,0.5741,0.1296,0.5926,0.5556,0.5926,0.2222,0.5926,0.5741,0.5926
0.1111,0.5741,0.5926,0.5556,0.3704,0.5741,0.5926,0.5741,0.3889,0.5926,0.6111,0.5556
0.1111,0.6852,0.7222,0.6667,0.0926,0.6667,0.7222,0.6667,0.4074,0.6111,0.6481,0.6296
0.0727,0.6,0.5818,0.5636,0.0545,0.5636,0.5636,0.5636,0.2727,0.5636,0.5455,0.5455
0.0727,0.5818,0.6364,0.6,0.0909,0.5818,0.6,0.5818,0.3636,0.5636,0.6,0.5636
0.3818,0.6364,0.5636,0.6364,0.3636,0.6182,0.6,0.6182,0.4,0.5818,0.5818,0.6364
0.0364,0.6727,0.6364,0.6909,0.0545,0.6909,0.6364,0.6727,0.4364,0.6364,0.6545,0.6545
0.1273,0.6364,0.6182,0.6364,0.4545,0.6545,0.6182,0.6545,0.2909,0.6,0.6364,0.6182
0.0545,0.5636,0.5455,0.5636,0.0727,0.5818,0.5818,0.5455,0.2909,0.5273,0.3818,0.5091
0.0741,0.6111,0.6667,0.6667,0.0556,0.6481,0.6296,0.6852,0.3333,0.6111,0.5926,0.6481
0.1667,0.6481,0.6481,0.6296,0.1667,0.6481,0.6111,0.6296,0.5,0.6111,0.6481,0.6296
0.0556,0.6481,0.6667,0.6481,0.037,0.6481,0.6481,0.6481,0.3889,0.6296,0.6481,0.6296
0.3519,0.5926,0.537,0.5741,0.3333,0.5741,0.5556,0.5741,0.3148,0.5741,0.5741,0.5185
0.1455,0.5636,0.6364,0.5818,0.2,0.5818,0.6364,0.5818,0.3818,0.5636,0.5818,0.5273
0.0545,0.6,0.6545,0.6545,0.0909,0.6545,0.6545,0.6545,0.3273,0.6182,0.5818,0.6
0.0364,0.5455,0.5091,0.5455,0.0545,0.5273,0.5273,0.5455,0.2182,0.5091,0.5091,0.5273
0.0545,0.6727,0.6545,0.6545,0.0727,0.6727,0.6182,0.6364,0.1273,0.5818,0.5636,0.6182
0.1091,0.5636,0.6,0.6,0.1091,0.5636,0.6,0.6,0.3636,0.5273,0.5091,0.5455
0.1091,0.6909,0.6727,0.6909,0.1455,0.6727,0.6727,0.6909,0.2909,0.6545,0.6545,0.6727
0.0926,0.5,0.537,0.5185,0.0556,0.5185,0.5185,0.5,0.2593,0.5185,0.5185,0.4815
0.1091,0.4727,0.5273,0.5091,0.1273,0.5091,0.5455,0.5273,0.2727,0.4727,0.5273,0.4545
0.0909,0.6545,0.5818,0.6727,0.1091,0.6364,0.5636,0.6909,0.1455,0.6,0.6364,0.6727
0.0727,0.5455,0.5818,0.5636,0.0364,0.5455,0.5818,0.5636,0.3636,0.4909,0.4727,0.6
0.0909,0.6364,0.6545,0.6364,0.3636,0.6,0.6,0.6364,0.2727,0.5818,0.5818,0.5636
0.0727,0.6,0.6,0.6182,0.0545,0.6182,0.6,0.6182,0.3091,0.6,0.5455,0.5818
0.1273,0.6909,0.6909,0.6909,0.1091,0.6909,0.6909,0.7091,0.4545,0.6909,0.6364,0.7091
0.0741,0.5926,0.5,0.537,0.037,0.5926,0.5,0.5741,0.3519,0.5185,0.5926,0.5185
0.1481,0.6667,0.6481,0.6852,0.1296,0.6852,0.6667,0.6852,0.537,0.6111,0.5556,0.6111
0.3148,0.537,0.537,0.5185,0.2963,0.537,0.537,0.5185,0.3889,0.4444,0.4444,0.5185
0.0556,0.7222,0.6852,0.6852,0.1111,0.6852,0.6481,0.6852,0.4259,0.7222,0.6667,0.7222
0.1818,0.4909,0.5273,0.5091,0.3091,0.5273,0.5091,0.5273,0.3636,0.5455,0.5091,0.4909
0.0727,0.6364,0.6,0.6545,0.4909,0.6364,0.5455,0.6545,0.1455,0.6364,0.6,0.6545
0.1273,0.6182,0.6364,0.6545,0.1455,0.6545,0.6364,0.6545,0.4,0.5818,0.4727,0.5636
0.0909,0.6545,0.6364,0.6727,0.0909,0.6545,0.6364,0.6727,0.3091,0.6727,0.6545,0.6909
0.1091,0.5273,0.5455,0.5455,0.0909,0.5273,0.5273,0.5273,0.2182,0.5273,0.5273,0.5273
0.0545,0.4182,0.4909,0.4545,0.0727,0.4364,0.4909,0.4364,0.2364,0.4182,0.4727,0.4
0.1481,0.6296,0.6481,0.6296,0.1111,0.5926,0.6667,0.5926,0.3148,0.5926,0.6296,0.5
0.0926,0.6481,0.6481,0.6852,0.4444,0.6852,0.6667,0.6852,0.3148,0.6111,0.6481,0.6481
0.0556,0.7037,0.7222,0.7407,0.0185,0.7593,0.7222,0.7593,0.4259,0.6852,0.6852,0.7037
0.1111,0.6667,0.6481,0.6852,0.1296,0.6481,0.6667,0.7037,0.3333,0.6481,0.5926,0.6296
0.0741,0.6296,0.6481,0.6111,0.1296,0.5926,0.6481,0.6111,0.2963,0.6111,0.6111,0.4815
0.0926,0.6481,0.6296,0.6667,0.0926,0.6296,0.6111,0.6667,0.4074,0.6111,0.4815,0.6296
0.0926,0.537,0.5741,0.5556,0.1296,0.5185,0.5926,0.5556,0.1852,0.5,0.5,0.5
0.0909,0.6,0.6182,0.6,0.0909,0.6,0.6,0.6,0.2182,0.5091,0.5091,0.5636
0.1091,0.4182,0.4545,0.4545,0.1091,0.4545,0.4545,0.4727,0.3273,0.4182,0.4364,0.4545
0.0727,0.6364,0.6182,0.6364,0.0727,0.6364,0.6545,0.6364,0.3273,0.5455,0.5455,0.6182
0.1455,0.6364,0.6182,0.6364,0.4909,0.6182,0.5818,0.6364,0.3636,0.6364,0.6182,0.6909
0.0727,0.6545,0.6,0.6182,0.1091,0.6364,0.5818,0.6182,0.2727,0.5818,0.5818,0.6
0.0727,0.7818,0.7636,0.7636,0.1091,0.7636,0.7636,0.7818,0.5636,0.7636,0.7455,0.7818
0.0741,0.5926,0.5926,0.6296,0.1667,0.6111,0.6481,0.6296,0.3519,0.537,0.537,0.5185
0.0556,0.6296,0.6481,0.5926,0.1296,0.6111,0.6296,0.5926,0.3519,0.5926,0.6111,0.5741
0.1111,0.6111,0.6296,0.5926,0.2037,0.5926,0.6111,0.5926,0.2222,0.6481,0.6111,0.6296
0.0185,0.6296,0.6111,0.6481,0.0556,0.6296,0.6111,0.6296,0.1667,0.6111,0.5926,0.6111
0.1455,0.7091,0.7273,0.7273,0.1455,0.7091,0.7273,0.7273,0.3818,0.7091,0.5636,0.6545
0.0545,0.6,0.5091,0.5636,0.3636,0.5636,0.4909,0.5636,0.1273,0.4727,0.4545,0.5273
0.0545,0.5455,0.5273,0.5455,0.2909,0.5636,0.5636,0.5636,0.2,0.5273,0.4909,0.5455
0.1273,0.6364,0.6182,0.6364,0.2182,0.6182,0.6182,0.6364,0.2545,0.6,0.5273,0.6
0.0364,0.5636,0.5818,0.5636,0.0727,0.6,0.5818,0.6,0.2727,0.5818,0.5455,0.6
0.0909,0.6364,0.6182,0.6545,0.0909,0.6545,0.6182,0.6545,0.4,0.6,0.6364,0.6182
0.1481,0.5926,0.5926,0.6296,0.0926,0.6111,0.6296,0.6296,0.3889,0.5926,0.5926,0.5741
0.1111,0.5926,0.5926,0.5926,0.1481,0.5741,0.5926,0.5741,0.2963,0.5741,0.5556,0.5741
0.0926,0.6111,0.6667,0.6481,0.1296,0.6111,0.6852,0.6667,0.463,0.6296,0.5926,0.6481
0.037,0.5556,0.5556,0.5556,0.037,0.537,0.5185,0.537,0.2593,0.463,0.5,0.463
0.0727,0.6727,0.7273,0.7273,0.1091,0.7273,0.7455,0.7273,0.3818,0.7273,0.6727,0.7091
0.0909,0.7636,0.7273,0.7455,0.0545,0.7455,0.7273,0.7455,0.2364,0.7455,0.7636,0.7818
0.0727,0.6545,0.6182,0.6727,0.0909,0.6909,0.6182,0.6545,0.1273,0.6727,0.6182,0.6182
0.0727,0.5636,0.6182,0.5818,0.0364,0.5818,0.6364,0.6182,0.4,0.5455,0.5636,0.5091
0.0909,0.6364,0.6182,0.6364,0.1273,0.6364,0.6182,0.6364,0.2364,0.6364,0.6182,0.6364
0.3091,0.5091,0.4545,0.5091,0.3091,0.5273,0.4364,0.5091,0.4182,0.5091,0.4727,0.4909
0.0741,0.5926,0.5741,0.5556,0.0926,0.5741,0.5741,0.5556,0.2222,0.5185,0.537,0.5741
0.0926,0.6852,0.6111,0.6852,0.1667,0.6852,0.6296,0.6852,0.5,0.6481,0.6296,0.7037
0.0926,0.7222,0.7407,0.7593,0.0926,0.7407,0.7593,0.7407,0.2778,0.7778,0.6296,0.7963
0.037,0.6481,0.6852,0.6296,0.3704,0.6667,0.5741,0.6481,0.2037,0.6481,0.6296,0.6667
0.0727,0.6364,0.7091,0.6182,0.4182,0.5818,0.5818,0.6182,0.3818,0.6,0.5636,0.5091
0.1091,0.6545,0.6364,0.6545,0.0909,0.6545,0.6545,0.6364,0.2545,0.6364,0.6364,0.5636
0.1091,0.6182,0.5273,0.6182,0.1091,0.6,0.5818,0.6,0.4545,0.5091,0.5091,0.5273
0.0909,0.6182,0.6182,0.6545,0.1455,0.6545,0.6364,0.6545,0.3636,0.5636,0.6182,0.6545
0.2727,0.4545,0.5091,0.4909,0.2909,0.4545,0.4364,0.4909,0.3091,0.4545,0.4364,0.4545
0.0727,0.6,0.6,0.6545,0.1273,0.6182,0.6,0.6545,0.2364,0.6182,0.5818,0.5818
0.037,0.463,0.4444,0.463,0.0556,0.4815,0.463,0.463,0.2222,0.4815,0.463,0.5185
0.0556,0.6296,0.6111,0.6111,0.1111,0.6111,0.6111,0.6111,0.1667,0.5926,0.463,0.6111
0.0185,0.537,0.4444,0.537,0.2593,0.537,0.4815,0.5185,0.3519,0.463,0.463,0.5
0.1481,0.7222,0.7407,0.7593,0.1111,0.6852,0.7778,0.7222,0.5556,0.6852,0.6481,0.6852
0.1091,0.6182,0.6364,0.6364,0.0909,0.6364,0.6182,0.6364,0.2909,0.6364,0.6182,0.6182
0.1636,0.6182,0.6,0.6,0.2909,0.6,0.6182,0.6182,0.3273,0.5818,0.6,0.6
0.0909,0.6,0.6182,0.6545,0.1273,0.6545,0.6182,0.6545,0.3273,0.6,0.6,0.5818
0.0727,0.5273,0.5818,0.5636,0.0545,0.5273,0.6,0.5636,0.3818,0.6182,0.6,0.5636
0.0727,0.5455,0.5818,0.5818,0.0727,0.5818,0.5818,0.5818,0.2182,0.5273,0.5455,0.5091
0.1091,0.6727,0.6364,0.6909,0.1091,0.6727,0.6364,0.6909,0.1273,0.6364,0.6,0.6545
0.0926,0.6296,0.5926,0.6481,0.0556,0.6111,0.5926,0.6296,0.4074,0.6481,0.6481,0.6481
0.0741,0.6111,0.6296,0.5926,0.0741,0.6111,0.6296,0.6111,0.2407,0.5926,0.5926,0.5741
0.4815,0.7037,0.6852,0.7222,0.4444,0.7222,0.7037,0.7222,0.4815,0.6111,0.6111,0.6111
0.1111,0.6852,0.6296,0.6667,0.1111,0.6667,0.6111,0.6481,0.3704,0.6667,0.6296,0.6852
0.0545,0.5818,0.5818,0.6182,0.0909,0.5818,0.5455,0.6,0.2909,0.5818,0.5636,0.6
0.1091,0.6182,0.6545,0.6182,0.3636,0.6,0.6182,0.6182,0.3091,0.5455,0.5455,0.5273
0.1091,0.6727,0.7091,0.6545,0.1455,0.6727,0.7091,0.6545,0.2727,0.6727,0.6909,0.6364
0.0909,0.6,0.5818,0.5818,0.0909,0.5636,0.5636,0.6,0.3091,0.5818,0.6,0.6182
0.1091,0.4364,0.4,0.4545,0.2727,0.4545,0.4182,0.4364,0.2182,0.4364,0.4182,0.4545
0.0909,0.6,0.6364,0.6,0.0909,0.6,0.5818,0.5818,0.4727,0.5455,0.5636,0.5455
0.0556,0.6852,0.7037,0.7222,0.0556,0.7037,0.6667,0.7222,0.1667,0.6481,0.6481,0.5926
0.1667,0.6111,0.5926,0.6111,0.2037,0.5556,0.5926,0.6111,0.2222,0.5741,0.6481,0.5741
0.0741,0.5926,0.5556,0.5926,0.3704,0.5926,0.5741,0.5926,0.3333,0.5185,0.6111,0.537
0.1111,0.7778,0.7407,0.7778,0.2222,0.7778,0.7593,0.7778,0.2963,0.7407,0.7407,0.7222
0.0909,0.5636,0.5636,0.5818,0.1091,0.5818,0.6,0.5636,0.3273,0.5636,0.5091,0.5455
0.1091,0.5636,0.6,0.5636,0.0909,0.5455,0.6,0.5636,0.2727,0.6,0.6,0.6182
0.0727,0.6182,0.6182,0.6,0.0545,0.6,0.6,0.6182,0.3818,0.5636,0.6,0.5818
0.0909,0.5455,0.5636,0.5818,0.1455,0.5273,0.5636,0.5636,0.2182,0.5636,0.5273,0.5273
0.0909,0.6182,0.6364,0.6364,0.1091,0.6364,0.6364,0.6364,0.3091,0.5818,0.6364,0.5818
0.0545,0.6727,0.6182,0.6364,0.0727,0.6364,0.6182,0.6545,0.2364,0.6,0.6,0.4909
0.1111,0.6111,0.5926,0.6111,0.1111,0.6296,0.5926,0.6111,0.4259,0.5556,0.5741,0.537
0.0556,0.5741,0.6296,0.6296,0.0556,0.5926,0.5926,0.6481,0.1667,0.6296,0.5556,0.6296
0.0741,0.6667,0.6481,0.6481,0.1481,0.6481,0.6111,0.6481,0.2963,0.6667,0.6296,0.6111
0.0556,0.6667,0.6111,0.6481,0.463,0.6481,0.6481,0.6667,0.4074,0.6667,0.4074,0.6111
