Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8,0.8,0.7778,0.8182,0.8,0.7692,0.8,0.8182,0.8,0.9,0.75,0.8182
0.6667,0.7143,0.625,0.625,0.6667,0.75,0.6667,0.625,0.75,0.6364,0.5556,0.6
0.8571,0.7778,0.75,0.6667,0.7143,0.875,0.875,0.6667,0.6364,0.75,0.6667,0.6364
0.6667,0.6,0.5455,0.6364,0.6667,0.7,0.6364,0.6364,0.7273,0.7,0.6667,0.5333
1.0,0.75,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.7778,0.8
0.5556,0.6,0.6667,0.6,0.5556,0.6,0.6,0.6,0.5556,0.5556,0.6667,0.6
0.6667,0.8571,0.7143,0.7143,0.8333,0.7143,0.7143,0.6667,0.5556,0.8333,0.8571,0.8333
0.8,0.7273,0.7273,0.75,0.6667,0.7,0.7,0.75,0.75,0.75,0.5385,0.75
0.6667,0.7778,0.6154,0.6364,0.875,0.6154,0.6154,0.7778,0.6667,0.875,0.6429,0.6667
0.7692,0.7692,0.6667,0.7692,0.75,0.7143,0.6667,0.7692,0.7692,0.7692,0.7143,0.625
0.75,0.75,0.75,0.75,0.6,0.75,0.6667,0.6,0.75,0.5714,1.0,0.6
0.8182,0.8182,0.8889,0.7143,0.75,0.8182,0.8182,0.625,0.6923,0.7692,1.0,0.7
0.625,0.6364,0.6667,0.5385,0.6667,0.6667,0.6667,0.5385,0.625,0.5,0.5385,0.5625
0.6667,0.4,0.3636,0.4286,0.5,0.375,0.5,0.4286,0.2727,1.0,0.3333,0.4
0.75,0.7778,0.7778,0.8,0.75,0.8,0.8,0.8,0.4706,0.5556,0.5556,0.75
1.0,0.8,0.7273,1.0,0.8571,0.875,0.8,1.0,0.875,0.75,0.75,0.6923
0.8571,0.7778,0.7778,0.7,0.8571,0.7778,0.7778,0.7,0.6429,0.6364,0.7,0.6429
0.6364,0.5455,0.5,0.5,0.875,0.5455,0.5455,0.5556,0.6,0.8571,0.8,0.3077
0.7273,0.7778,0.5,0.6667,0.75,0.6154,0.6667,0.7273,0.6667,0.7273,0.7,0.7692
0.7143,0.7778,0.7,0.6667,0.6667,0.6,0.6667,0.6667,0.6667,0.75,0.875,0.75
0.625,0.625,0.5714,0.625,0.5714,0.5714,0.5714,0.6667,0.625,0.7143,0.7143,0.7143
0.7778,0.7,0.6923,0.7273,0.8,0.8182,0.8333,0.7273,0.7143,0.7273,0.75,0.6
0.8571,0.6667,0.8571,0.8571,0.875,0.6667,0.6667,0.6667,0.5833,0.7778,0.7,0.7
0.3333,0.3333,0.3333,0.5,0.3333,0.25,0.25,0.5,0.2857,0.4,0.6,0.3636
0.8333,0.8571,0.8571,0.8,0.8571,0.8333,0.625,0.8,0.7143,0.75,0.75,0.8571
0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.6,0.6667,0.75,0.7778
0.875,0.7778,0.75,0.7778,0.875,0.7778,0.7,0.7778,0.6429,0.875,0.875,0.8571
0.75,0.5714,0.7,0.75,0.75,0.6667,0.6667,0.75,0.6667,0.7,0.5455,0.5455
0.8,0.7273,0.7273,0.4615,0.7273,0.75,0.75,0.4615,0.6,0.5385,0.5625,0.4545
0.75,0.7778,0.7778,0.75,0.75,0.7778,0.75,0.75,0.6667,0.7,0.5833,0.5833
0.5556,0.5385,0.5,0.6667,0.75,0.6667,0.6,0.6667,0.4667,0.5,0.8333,0.4167
0.8571,0.875,0.75,0.75,0.75,0.75,0.875,0.8182,0.8571,0.7692,0.75,0.7692
0.75,0.7778,0.625,0.6667,0.8889,0.8182,0.9091,0.6,0.75,0.8571,0.7273,0.7273
1.0,1.0,0.7273,0.875,1.0,1.0,1.0,1.0,0.7273,1.0,0.6154,1.0
0.6,0.6,0.75,0.4286,0.75,0.4286,0.6,0.4286,0.5,0.4545,0.6667,0.4615
0.8889,0.8889,0.875,0.8889,0.8889,0.9,0.9,0.8889,0.8889,0.8889,0.8889,0.8889
0.6667,0.5556,0.6,0.7143,0.625,0.7143,0.625,0.7143,0.4545,0.5714,0.5714,0.5714
0.7,0.6364,0.6364,0.5833,0.75,0.6364,0.5833,0.6364,0.7,0.6,0.5,0.5714
0.9231,0.9231,0.9231,0.8462,0.9231,0.9231,0.9231,0.8,0.8571,0.8667,0.9231,0.75
0.6667,0.5,0.5,0.5,0.6667,0.6667,0.4444,0.6667,0.6667,0.6,0.6,0.5455
0.2857,0.25,0.3,0.0,0.25,0.0,0.2727,0.0,0.2727,0.1429,0.3333,0.3
0.75,0.6154,0.6667,0.6667,0.6667,0.6154,0.6667,0.6364,0.75,0.5714,0.6471,0.6471
0.8333,0.8571,0.8571,0.5556,0.8,0.8333,0.7143,0.8,0.7,0.8571,0.75,0.5625
1.0,1.0,1.0,0.8889,1.0,0.875,0.875,0.8889,1.0,0.875,0.7778,0.7778
0.6667,0.4545,0.4545,0.5,0.5714,0.4545,0.4545,0.5556,0.5,0.5,0.6364,0.5385
0.6667,0.5556,0.5455,0.5714,0.8333,0.6667,0.6,0.625,0.6,0.7143,0.8333,0.8333
0.875,0.6667,0.7,0.8571,0.875,0.875,0.875,0.875,0.5714,0.5455,0.5333,0.75
0.8571,0.75,0.75,0.625,0.8333,0.6667,0.6667,0.625,0.5,0.5833,0.6364,0.5385
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6667,0.6,0.6
0.8889,0.8,0.75,0.6667,1.0,0.7273,0.7273,0.7778,0.6667,0.8,0.7273,0.8889
0.6667,0.5556,0.7143,0.8,0.75,0.6667,0.5,0.7273,0.6667,0.8333,0.6,0.75
0.6923,0.7273,0.7273,0.7143,0.6923,0.6923,0.6923,0.6923,0.5714,0.7273,0.6154,0.6429
0.75,0.75,1.0,0.5,0.75,0.75,0.6,0.5,0.8571,1.0,0.8333,0.3333
0.6,0.5556,0.4286,0.6667,0.75,0.6,0.8,0.6667,0.6,0.625,0.5,0.5556
0.7778,0.5,0.8571,0.5556,0.8571,0.6,0.7778,0.5455,0.6923,0.7,0.5714,0.6429
0.6667,0.75,0.6667,0.7143,0.75,0.6667,0.6667,0.7143,0.5714,0.7143,0.875,0.6364
0.875,0.875,0.875,0.8333,0.8889,0.7273,0.7273,0.9,0.6923,0.7692,0.75,0.75
0.8333,0.8333,1.0,0.8,0.8333,0.8333,0.75,0.8,0.7143,1.0,1.0,0.7143
0.8,1.0,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,1.0,0.6667,0.5,0.5556
0.75,0.6,0.6,0.75,0.75,0.75,0.75,0.75,0.5714,0.375,0.75,0.75
0.6923,0.6429,0.5,0.5625,0.6429,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5294
0.8571,0.8571,0.75,0.6667,0.8,0.8571,0.7778,0.75,0.8571,0.8,0.6667,0.6667
0.6923,0.6923,0.6923,0.6154,0.6923,0.6923,0.6923,0.6429,0.6923,0.5625,0.5294,0.5625
0.7273,0.8,0.6154,0.7273,1.0,0.75,0.75,0.7,0.75,0.6429,0.7,0.8182
0.6364,0.5833,0.5385,0.5,0.6364,0.6667,0.6667,0.5833,0.6364,0.7,0.6364,0.6
0.75,0.8,0.8571,0.8333,0.8333,0.8,0.75,0.8333,0.5,0.75,0.8571,0.75
1.0,1.0,1.0,0.7778,1.0,0.8889,0.8,0.875,0.8889,1.0,1.0,0.875
0.7778,0.8571,0.7778,0.6667,0.75,0.7778,0.7,0.6667,0.5833,0.6667,0.7,0.5714
0.8,0.8,0.6667,0.8,0.8,0.7778,0.6667,0.8,0.5714,0.6667,1.0,0.875
0.5,0.4,0.5385,0.4545,0.6154,0.5,0.5333,0.4545,0.5,0.5455,0.5333,0.5833
0.6,0.625,0.75,0.7143,0.7143,0.7143,0.7143,0.6667,0.6,0.6667,0.5,0.5385
0.75,0.7,0.6,0.6667,0.6667,0.6667,0.6,0.6364,0.75,0.5833,0.6364,0.8
1.0,1.0,0.8333,1.0,1.0,0.75,0.75,1.0,0.6667,0.75,0.8,0.6364
0.75,0.6667,0.4545,0.7,0.6667,0.5385,0.5833,0.7273,0.6,0.5455,0.6,0.5
0.6667,0.4444,0.4444,0.625,0.7143,0.625,0.625,0.5714,0.7778,0.5,0.5,0.7143
0.5556,0.625,0.7143,0.4545,0.625,0.5556,0.5556,0.625,0.5,0.5556,0.4545,0.5556
0.5714,1.0,0.75,0.5714,1.0,0.5714,0.5714,0.5714,0.8333,1.0,0.75,0.6
0.9,0.8889,0.9,0.875,0.9,0.9,0.9,0.8889,0.7692,0.8182,0.8182,0.8889
1.0,0.8571,0.8571,0.8333,1.0,1.0,1.0,0.75,0.6154,0.7273,0.6,0.7
0.8333,0.8333,0.8571,0.5714,1.0,0.8333,0.8571,0.8,0.6667,0.75,0.6,0.7273
0.5455,0.5,0.5,0.625,0.6,0.5833,0.5556,0.625,0.5294,0.5455,0.5556,0.5833
0.8,0.6923,0.7273,0.7273,0.875,0.75,0.6667,0.7273,0.8,0.6667,0.75,0.6923
0.7778,0.75,0.75,0.7143,0.7778,0.7778,0.7778,0.75,0.7778,0.75,0.7778,0.8
0.6667,0.7273,0.6667,0.6364,0.7273,0.6667,0.6667,0.6364,0.6667,0.8,0.7273,0.6667
0.6,0.5625,0.5,0.8182,0.6,0.5625,0.5625,0.8182,0.6,0.8182,0.6,0.8333
1.0,1.0,0.6364,0.8571,0.8889,0.8571,0.75,1.0,1.0,0.6154,0.6154,0.6154
0.8889,0.5714,0.6154,0.875,0.8571,0.8889,0.8889,0.875,0.7778,0.8,0.8333,0.7273
1.0,1.0,0.6667,0.5556,0.625,0.625,0.5,0.5714,0.7778,0.75,0.5556,0.5
0.6,0.4286,0.375,0.4286,0.8,0.5,0.5714,0.6,0.625,0.3333,0.4,0.5
0.8,0.8333,0.75,0.6667,0.8,0.8333,0.8333,0.7143,0.625,0.7143,0.6667,0.7143
0.7,0.6364,0.6,0.4615,0.7,0.7,0.6364,0.4615,0.5333,0.5455,0.5333,0.4615
0.6667,0.7143,0.7143,0.5556,0.5556,0.5556,0.5556,0.5556,0.625,0.6667,0.6667,0.6667
0.75,0.7778,0.75,0.7273,0.75,0.75,0.7778,0.6667,0.6364,0.6,0.6667,0.8
0.7778,0.75,0.625,0.8333,0.8333,0.8,0.8,0.8571,0.6154,0.5714,0.6,0.625
1.0,0.7143,0.7143,0.8571,1.0,0.8333,0.8333,0.8571,1.0,0.8333,0.8333,0.6667
0.6667,0.7143,0.7143,0.625,0.8333,0.6667,0.6,0.625,0.4286,0.75,0.625,0.625
0.6,0.5556,0.6667,0.5455,0.6364,0.6923,0.6923,0.5,0.6923,0.7273,0.5455,0.5455
0.5,0.5,0.5385,0.6,0.5,0.5556,0.5556,0.5,0.6364,0.5385,0.5,0.4375
0.6667,0.75,0.75,0.75,0.6,0.6,0.6,0.75,0.8182,0.8,0.6,0.75
0.8333,0.875,0.875,0.8571,0.8571,0.875,0.875,0.8571,0.5556,0.8571,0.8333,0.8
0.6667,0.8,0.6667,0.6,0.7273,0.5714,0.5714,0.6667,0.6667,0.5625,0.6154,0.6364
0.8571,0.7778,0.7,0.8,0.75,0.875,0.7273,0.875,0.8571,0.5833,0.7778,0.8
0.7143,0.5455,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.75,0.7143
1.0,0.8,0.75,0.875,0.8889,1.0,1.0,0.8889,0.6,0.8182,0.6667,0.7778
0.5556,0.6,0.5556,0.625,0.625,0.625,0.625,0.625,0.4615,0.4167,0.5,0.4615
0.8889,0.7778,0.7778,0.875,0.8889,0.8889,0.8889,0.875,0.875,0.7,1.0,0.8889
0.2857,0.2857,0.3,0.2857,0.4,0.25,0.25,0.2857,0.2857,0.2727,0.3636,0.4444
1.0,0.8889,0.875,0.875,1.0,1.0,1.0,0.875,1.0,1.0,0.8333,0.8889
0.875,0.7,0.6667,0.8571,0.625,0.5833,0.5833,0.8571,0.875,0.6,0.8,0.6154
0.8333,0.8889,0.4545,0.75,0.8333,0.7143,0.7143,0.8571,0.8333,0.7778,0.6364,0.8462
0.7143,0.7143,0.7143,0.6667,0.7143,0.7143,0.7143,0.6667,0.7143,0.5833,0.5833,0.6154
0.6923,0.7273,0.75,0.5455,0.6667,0.6923,0.6429,0.6364,0.6667,0.5882,0.6667,0.4667
0.8,0.7273,0.5714,0.5833,0.6154,0.6154,0.6154,0.5833,0.8182,0.5714,1.0,0.7273
0.5714,0.5,0.6,0.5,0.8,0.5,0.5,0.5714,0.5556,0.5714,0.5714,0.5
0.5556,0.625,0.5556,0.5,0.7143,0.5556,0.6,0.6,0.5556,0.5556,0.4545,0.6667
1.0,0.8889,0.8333,0.875,0.75,0.875,0.8571,0.875,0.875,0.6429,0.6,0.6429
1.0,1.0,0.8182,0.8889,1.0,1.0,0.8889,1.0,0.8889,0.7692,0.8182,1.0
0.875,0.875,0.875,0.7778,0.8571,0.875,0.875,0.7778,0.875,0.8571,1.0,0.8
0.6154,0.6154,0.75,0.6154,0.6154,0.6154,0.6154,0.6154,0.75,0.6154,0.6154,0.4444
0.8333,0.6667,0.7143,0.5,0.8333,0.8333,0.8333,0.5556,0.7143,0.8333,0.625,0.7143
0.5714,0.6667,0.5714,0.6,0.7143,0.5714,0.5,0.8,0.6364,0.7143,0.5714,0.6364
0.6923,0.6667,0.7143,0.5556,0.6667,0.6923,0.6667,0.5556,0.75,0.6154,0.5833,0.6
0.7778,0.8,0.7,0.7273,0.8,0.8,0.8,0.7273,0.7778,0.75,0.6667,0.7
0.5,0.5,0.4286,0.4444,0.6667,0.5,0.5,0.375,0.5,0.5714,0.5,0.375
0.6667,0.5,0.3333,0.5,0.5714,0.625,0.3636,0.5,0.6667,0.375,0.375,0.5556
0.75,0.5556,0.7143,0.6667,0.75,0.75,0.6,0.6667,0.75,0.6667,0.6667,0.7143
0.7,0.5385,0.5385,0.7273,0.6364,0.6364,0.6364,0.6667,0.6923,0.5625,0.6429,0.5333
0.6,0.5455,0.3636,0.5,0.6,0.6,0.6,0.5,0.75,0.8571,0.5455,0.5833
0.8571,0.75,0.8333,0.8333,0.8571,0.8571,0.8571,0.8333,0.7,0.7143,0.6667,0.6364
0.8889,0.9,1.0,0.875,1.0,0.75,0.7273,0.7,0.9,1.0,0.6154,0.7273
0.8333,0.6667,0.8333,0.8571,0.7143,0.7143,0.8571,0.8571,0.75,1.0,0.6154,0.8333
0.9091,0.8889,0.7273,0.8,0.9,0.9,0.9091,0.8182,0.8462,0.5714,0.7273,0.6364
0.8333,0.8,0.7,0.7778,0.8571,0.7778,0.8,0.7778,0.75,0.8,0.8182,0.75
0.8,0.8,0.4444,0.6667,0.8,0.8,0.8,0.8,0.5714,0.8,0.8,0.4444
0.7273,0.6,0.5833,0.7,0.7778,0.75,0.6923,0.75,0.6,0.6429,0.6429,0.5714
0.875,0.8182,0.75,0.8571,0.875,0.8,0.7778,0.8571,0.7778,0.8182,0.625,0.6
0.8571,0.7143,0.625,0.625,0.75,0.8571,0.75,0.625,0.5833,0.5833,0.6,0.5
0.7778,0.6364,0.6364,0.6364,0.7,0.7778,0.6364,0.6364,0.6364,0.7,0.7,0.6667
0.4286,0.5,0.4545,0.4286,0.5,0.5,0.4545,0.4286,0.4286,0.4,0.75,0.4545
0.5,0.4615,0.4545,0.5385,0.4545,0.5,0.5,0.5385,0.5,0.5,0.5,0.4667
0.75,0.625,0.6364,0.7143,0.75,0.75,0.75,0.75,0.75,0.6,0.6364,1.0
1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.7143,0.8182,0.8333
0.8571,0.875,0.8571,0.8571,0.8333,1.0,0.875,0.8333,0.7273,0.8333,0.8333,0.8182
0.7273,0.7273,0.75,0.6,0.875,0.7273,0.7273,0.5625,0.5385,0.5333,0.6,0.5714
0.6364,0.5833,0.6364,0.5385,0.7,0.6364,0.6364,0.6364,0.5333,0.5833,0.7,0.5
0.5,1.0,0.6667,0.375,0.5,0.5,0.5,0.375,0.5,0.4,0.4,0.6
0.75,0.8333,0.8333,0.75,0.7143,0.75,0.75,0.75,0.8,1.0,0.8571,0.8333
0.75,0.7778,0.7778,0.7143,0.75,0.7778,0.75,0.7143,0.75,0.6,0.6,0.6667
0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.6667,0.6,0.4,0.4,0.5
0.5833,0.5455,0.4545,0.375,0.6667,0.5833,0.5833,0.4444,0.5833,0.375,0.5714,0.5
0.9091,0.9091,0.8462,0.9,0.9091,0.9091,0.9167,0.9,0.9167,0.8182,0.8333,0.8462
0.8571,0.7778,0.7778,0.875,0.75,0.75,0.75,0.875,0.8571,0.875,0.875,0.7
0.8,0.8,0.7273,0.8,0.8889,0.7273,0.7273,0.8,0.8,0.8,0.7273,0.7692
0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.6,0.6,0.8
0.6923,0.5625,0.8,0.6667,0.8889,0.5625,0.6,0.6667,0.45,0.4375,0.4444,0.5625
0.6,0.4444,0.4444,0.6,0.75,0.6,0.6,0.6,0.7143,0.3,0.5556,0.625
0.8182,0.8333,0.6667,0.7273,0.8182,0.8333,0.8333,0.7273,0.5882,0.7692,0.8333,0.5294
0.3636,0.3636,0.3636,0.4167,0.625,0.5,0.4167,0.4167,0.3636,0.6667,0.625,0.4545
0.8,0.7273,0.7273,0.8,0.8182,0.75,0.7273,0.8,0.6,0.7273,0.6923,0.8
0.7143,0.5,0.5556,0.625,0.8,0.7143,0.5556,0.6667,0.5714,0.75,0.7778,0.6
0.7778,0.75,0.7778,0.7778,0.7778,0.7778,0.7778,0.8,0.7692,0.75,0.75,0.8182
1.0,0.9091,0.8889,1.0,0.9,1.0,1.0,1.0,1.0,0.8333,0.7692,0.8333
0.5,0.2857,0.2857,0.5,0.5,0.2857,0.2857,0.5,0.5,0.25,0.1667,0.125
0.8571,0.875,0.875,0.875,0.8571,0.8571,0.8571,0.8333,0.6667,1.0,0.7273,1.0
0.6154,0.5,0.5,0.5833,0.8,0.5625,0.6154,0.5833,0.6154,0.5294,0.6667,0.5294
0.8571,0.875,0.875,0.8571,0.8333,0.875,0.8889,0.875,0.8571,0.8571,0.75,0.875
0.875,0.875,0.7,0.8571,0.8889,0.875,0.8,0.8571,0.8,0.7273,0.7273,0.8
0.75,0.6667,0.6,0.625,0.6667,0.6667,0.7,0.7143,0.7,0.6,0.5,0.5
0.6,0.4286,0.6,0.4286,0.6,0.4286,0.4286,0.5,0.4706,0.75,0.625,0.3333
0.5455,0.5455,0.5385,0.5455,0.5455,0.5455,0.5455,0.5,0.6667,0.5,0.6,0.6154
0.75,0.75,0.6,0.6,0.75,0.75,0.6,0.6667,0.6667,0.75,0.5,0.7143
0.8,0.8,0.6667,0.625,0.625,0.625,0.6667,0.5714,0.625,0.5,0.5556,0.5556
1.0,1.0,1.0,0.9,1.0,1.0,0.8889,1.0,0.8333,0.9091,1.0,0.9091
0.5,0.4545,0.4167,0.5455,0.6,0.5455,0.6,0.5833,0.4615,0.5556,0.5,0.4615
0.7143,0.6875,0.7143,0.6875,0.6875,0.6875,0.6875,0.7333,0.7143,0.6875,0.7143,0.6
0.875,0.875,0.8,0.875,0.7778,0.875,0.875,0.875,0.6,0.7778,0.5714,0.7778
0.75,0.5,0.8,0.6,0.6,0.6667,0.6667,0.6,0.75,0.6,0.75,0.75
1.0,0.8571,0.6667,0.8571,0.8571,0.7,0.7,0.8571,1.0,0.7778,0.7778,0.6667
0.6364,0.6364,0.6,0.6,0.7778,0.6364,0.6364,0.6,0.6923,0.75,1.0,0.5455
1.0,0.875,1.0,0.8,0.8571,0.8333,0.8571,0.8,0.6364,0.75,0.875,0.875
1.0,1.0,1.0,0.7273,1.0,1.0,1.0,0.75,1.0,0.6,0.6667,0.7143
1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.4545,0.5714,0.4615
0.75,0.7778,0.7,0.7,0.75,0.75,0.6667,0.7,0.6667,0.7,0.6667,0.7
0.8333,0.875,0.875,0.8333,0.8333,0.875,0.8571,0.8,0.7143,0.75,0.875,0.5833
0.8571,0.7143,0.625,0.8333,0.875,0.875,0.875,0.8333,0.6154,1.0,0.8,0.875
0.7,0.5714,0.6667,0.5556,0.8571,0.5833,0.6364,0.5455,0.7,0.7778,0.75,0.625
0.8889,0.7059,0.7692,0.75,0.7692,0.8333,0.75,0.75,0.6111,1.0,0.75,0.9
0.5455,0.5833,0.5714,0.5833,0.875,0.6364,0.5833,0.5833,0.6364,0.7778,0.5,0.5
0.7143,0.75,0.8571,0.7143,0.7143,0.7143,0.7143,0.7143,0.6,0.8333,0.8333,0.5556
0.6,0.6,0.5455,0.5833,0.5556,0.5556,0.6,0.5455,0.6,0.5556,0.5556,0.6154
0.8,0.8333,0.8333,0.6667,0.8,0.7143,0.6667,0.6667,0.75,0.7143,0.625,0.6
0.8333,0.6667,0.7143,0.8333,1.0,0.8,1.0,0.8333,0.8,0.75,0.8,0.7143
0.6364,0.6364,0.7,0.7,0.6364,0.6667,0.6667,0.7,0.5333,0.7,0.6667,0.5
0.6,0.8333,0.6,0.7143,0.8,0.75,0.7143,0.625,0.5,0.8333,0.7143,0.8333
0.8889,0.8889,0.8889,0.9,0.9,0.9,0.8889,0.9,0.6923,0.75,0.8182,0.75
0.6667,0.6667,0.8,0.6667,0.875,0.6667,0.75,0.7143,0.6667,1.0,1.0,0.6364
0.7778,0.6667,0.5833,0.7778,0.875,0.7778,0.7,0.6,0.5333,0.7692,0.6923,0.6923
0.75,0.5833,0.5833,0.75,0.7,0.6364,0.5833,0.75,0.6364,0.7,0.5,0.7778
0.5385,0.5385,0.5385,0.4545,0.5385,0.5385,0.5385,0.5,0.6,0.5333,0.625,0.5385
0.8,0.8,0.7273,0.7778,0.7778,0.8,0.7273,0.8,0.6923,0.6429,0.6923,0.7273
0.7143,0.5,0.4615,0.6667,0.7143,0.7143,0.625,0.7143,0.7143,0.6,0.625,0.8
0.8333,0.8571,0.8571,0.7143,0.8333,0.8333,0.8333,0.7143,0.8333,0.8333,0.8333,0.8571
0.8,0.6667,0.8333,0.75,0.8333,0.8,0.8,0.8,0.8,0.625,0.6667,0.625
1.0,0.6667,0.6,0.75,1.0,0.75,0.75,0.6667,1.0,0.4,0.4,0.8
0.7778,0.8,0.7273,0.7778,0.875,0.7778,0.7273,0.7778,0.5714,0.7,0.7778,0.6154
0.7143,0.7143,0.5882,0.5625,0.625,0.7143,0.625,0.5556,0.5882,0.8333,0.5882,0.625
0.7,0.75,0.7692,0.75,0.7,0.7,0.7273,0.75,0.8182,0.6667,0.7778,0.7143
1.0,0.7778,0.7778,1.0,0.8333,0.7778,0.8571,1.0,1.0,0.4545,0.5,0.75
0.5,0.4444,0.4444,0.375,0.4444,0.3636,0.4286,0.375,0.5714,0.5714,0.6,0.5
0.7778,1.0,1.0,0.7778,0.7778,0.7,0.7,0.7778,0.8,0.8889,0.7273,0.8182
0.7143,0.625,0.7143,0.5714,1.0,0.7143,0.625,0.6667,0.7,1.0,1.0,0.7143
0.7143,1.0,1.0,0.7778,1.0,1.0,0.7143,0.7778,0.7143,1.0,1.0,1.0
0.7143,0.75,0.6667,0.75,0.7778,0.7778,0.75,0.75,0.5556,0.75,0.6667,0.7
0.6,0.5455,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.4286,0.3077,0.5455
0.7,0.7,0.7273,0.7143,0.8571,0.7,0.7,0.5556,0.5714,0.6667,0.6667,0.5714
0.5,0.5,0.5,0.5,0.8,0.5556,0.4545,0.5,0.4444,0.6667,0.5,0.3846
0.6429,0.5333,0.5625,0.6429,0.7,0.6,0.6429,0.6429,0.6154,0.6,0.5714,0.6429
1.0,0.8462,0.8462,1.0,0.9091,0.9091,0.9091,1.0,1.0,0.7692,0.625,0.8333
0.8,0.8,0.5,0.8,0.8,0.625,0.625,0.8,0.8,0.5714,0.5714,0.4545
0.7,0.7,0.7,0.6364,0.6364,0.5833,0.5385,0.6364,0.7,0.5714,0.6364,0.5
0.75,0.6667,0.8333,0.6667,0.75,0.6667,0.6667,0.6667,0.6364,0.8182,0.7273,0.4286
1.0,1.0,0.75,1.0,1.0,0.8333,0.8333,1.0,0.8571,0.8333,0.8333,1.0
0.875,0.7778,0.8571,1.0,0.8889,0.8889,0.8889,0.9,0.875,1.0,0.7273,0.6429
0.4444,0.5,0.6,0.5556,0.5556,0.5455,0.5,0.625,0.5,0.5556,0.5455,0.5556
0.5,0.5,0.5,0.3333,0.5,0.5714,0.4,0.5,0.5556,0.5714,0.6667,0.4444
1.0,1.0,0.8889,1.0,1.0,1.0,1.0,1.0,0.7333,1.0,1.0,0.8182
0.6667,0.6,0.6,0.6,0.6667,0.6667,0.6667,0.6,0.5,0.6667,0.6667,0.6667
0.8571,0.8571,0.75,0.8333,0.8571,0.75,0.75,0.8333,0.7273,0.5833,0.7778,0.7
1.0,0.6154,0.7273,1.0,1.0,1.0,0.7273,1.0,0.7,1.0,1.0,0.5714
0.7778,0.7692,0.5882,0.7273,0.8,0.7692,0.7692,0.75,0.8,0.6923,0.7778,0.6
0.6923,0.6923,0.6923,0.5833,0.8182,0.8,0.7143,0.6667,0.7692,0.7143,0.5294,0.9167
0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.5714,0.6154,0.5556,0.5333,0.5556
0.8333,0.7143,0.8333,0.8571,0.8333,0.8333,0.8333,0.8571,0.8333,0.8333,0.8571,0.8333
0.8,0.6429,0.6923,0.6364,0.6667,0.7143,0.6154,0.6364,0.7333,0.8333,0.6,0.7143
0.75,0.75,0.8182,0.7273,0.75,0.75,0.75,0.7,0.75,0.7273,0.75,0.7273
0.8,0.8889,0.7273,0.6,0.8,0.8889,0.8889,0.6,0.75,0.8,0.8889,0.5294
0.875,0.875,0.8571,0.7273,0.7778,0.7778,0.875,0.8,0.6667,0.7273,0.7692,0.7143
0.8333,0.7143,0.7778,0.625,1.0,0.8333,0.8333,0.5714,0.5455,0.7143,0.625,0.6364
0.8333,0.8571,0.7143,0.75,0.8333,0.8333,0.8333,0.7143,0.7,0.75,0.5714,0.6667
0.5714,0.6667,0.5,0.625,0.5,0.5714,0.5,0.625,0.625,0.4,0.5556,0.5556
0.7778,0.75,0.75,0.7273,0.75,0.7273,0.7273,0.7273,0.7778,0.6429,0.8182,0.6429
0.75,0.75,0.6364,0.7143,0.75,0.75,0.6667,0.6667,0.6,0.75,0.75,0.6364
0.6,0.5,0.5714,0.6,0.6667,0.5,0.5,0.6667,0.8,0.625,0.4545,0.5556
